id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2021-12-27T00:47:34;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2021-12-26T12:40:16;75071
2;Rhode Island bypassing SQL;2021-12-26T15:35:38;Frozen online streamline;ISSUED;CREDIT_CARD;2021-12-27T07:22:44;68011
3;lime program;2021-12-26T10:50:41;parse Horizontal Shirt;ISSUED;PAYPAL;2021-12-26T11:41:14;82892
4;Buckinghamshire Director Gloves;2021-12-26T15:21:24;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2021-12-26T07:56:25;33894
5;attitude-oriented;2021-12-26T17:49:32;Integration structure;CANCELLED;PAYPAL;2021-12-26T19:57:02;72584
6;Internal Licensed Steel Towels RSS;2021-12-27T00:25:42;Chips;PAID;CREDIT_CARD;2021-12-27T01:21:22;90614
7;Toys Cotton;2021-12-26T16:55:03;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2021-12-26T14:38:27;42722
8;Arizona Barbados Dollar;2021-12-27T01:24:45;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2021-12-26T22:28:13;44406
9;Generic Ethiopian Birr Assurance;2021-12-26T13:53:36;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2021-12-26T21:49:06;93110
10;Concrete;2021-12-27T06:37:22;paradigms system;PAID;CREDIT_CARD;2021-12-26T09:03:34;93817
