id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-12-26T08:59:18;payment unleash Jamaican Dollar;1
2;Rest;2021-12-27T04:15:48;Plains;2
3;Quality Plastic plum;2021-12-26T08:36:10;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-12-27T05:03:22;Architect SSL;4
5;zero tolerance;2021-12-27T01:59:41;user-facing CSS;5
6;ADP Ouguiya;2021-12-26T21:56:09;Garden;6
7;auxiliary;2021-12-27T06:12:09;functionalities Bedfordshire withdrawal;7
8;Data;2021-12-26T09:10:10;Viaduct hybrid;8
9;mesh;2021-12-27T07:35:49;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-12-27T05:34:43;Re-engineered withdrawal Ball;10
